MODEL_TYPE,NODE_TYPE,ID,NAME,PARENT_ID,LEVEL_NUM
Billing,Billing_Node,1,Billing_core_node,,0
Billing,Billing_Node,2,Tariff_1,1,1
Billing,Tier,32,Tier_1,1,1
Billing,User,7,User_1,2:32,2
Entitlements,Entitlements_Node,1,Entitlements_core_node,,0
Entitlements,Billing_Node,2,Tariff_1,1,1
Entitlements,Tier,13,Tier_1,1,1
Entitlements,PPV_Channel,7,Sport,2:13,2
Entitlements,PPV_Channel,8,Documentary,2:13,2
PPV,PPV_Channel,1,PPV_calaloge_Core,,0
PPV,PPV_Channel,5,Sport,1,1
PPV,PPV_Channel,6,Children,1,1
PPV,PPV_Event,19,Event_1,5,2
PPV,PPV_Event,22,Event_4,6,2
User,User_Group,1,User_core_node,,0
User,User_Group,2,Tariff_1,1,1
User,User,7,User_1,2,2
User,User,12,User_6,2,2
User,STB,32,STB_1,7,3
User,STB,37,STB_6,12,3
Services,Service,1,Services_core_node,,0
Services,Service,2,PPV,1,1
Services,Service,3,Watch_TV,1,1
Services,Service,4,VOD,1,1
Services,Service,5,Time_shift,1,1
Services,Service,6,DVR,1,1
